,date,QT_EXIST0
0,2020-01,19351
1,2020-02,19311
2,2020-03,19761
3,2020-04,19971
4,2020-05,20028
5,2020-06,20290
6,2020-07,20630
7,2020-08,20868
8,2020-09,20962
9,2020-10,20989
10,2020-11,20755
11,2020-12,21140
12,2021-01,21187
13,2021-02,21592
14,2021-03,22066
15,2021-04,22098
16,2021-05,22169
17,2021-06,22323
18,2021-07,22525
19,2021-08,22722
20,2021-09,22758
21,2021-10,22833
22,2021-11,22886
23,2021-12,23019
24,2022-01,23003
25,2022-02,22730
26,2022-03,22444
27,2022-04,22395
28,2022-05,22381
29,2022-06,21212
30,2022-07,21303
31,2022-08,21343
32,2022-09,21315
33,2022-10,21389
34,2022-11,21225
