,date,QT_EXIST0,QT_SUS
0,2020-01,19351,11535
1,2020-02,19311,11521
2,2020-03,19761,11784
3,2020-04,19971,11994
4,2020-05,20028,12137
5,2020-06,20290,12291
6,2020-07,20630,12440
7,2020-08,20868,12598
8,2020-09,20962,12750
9,2020-10,20989,12747
10,2020-11,20755,12629
11,2020-12,21140,12816
12,2021-01,21187,12776
13,2021-02,21592,12854
14,2021-03,22066,13506
15,2021-04,22098,13301
16,2021-05,22169,13341
17,2021-06,22323,13459
18,2021-07,22525,13547
19,2021-08,22722,13746
20,2021-09,22758,13853
21,2021-10,22833,13984
22,2021-11,22886,13878
23,2021-12,23019,13690
24,2022-01,23003,13406
25,2022-02,22730,13137
26,2022-03,22444,12981
27,2022-04,22395,13007
28,2022-05,22381,13041
29,2022-06,21212,12835
30,2022-07,21303,12819
31,2022-08,21343,12988
32,2022-09,21315,12942
33,2022-10,21389,13096
34,2022-11,21225,13099
