,date,QT_EXIST0
0,2020-02,-104.0
1,2020-03,-3.0
2,2020-04,-127.0
3,2020-05,-194.0
4,2020-06,-50.0
5,2020-07,-21.0
6,2020-09,-25.0
7,2020-10,-22.0
8,2020-11,-283.0
9,2021-01,-47.0
10,2021-02,-27.0
11,2021-03,-1.0
12,2021-04,-238.0
13,2021-05,-132.0
14,2021-06,-39.0
15,2021-07,-37.0
16,2021-08,-21.0
17,2021-09,-79.0
18,2021-10,-34.0
19,2021-11,-39.0
20,2021-12,-3.0
21,2022-01,-175.0
22,2022-02,-314.0
23,2022-03,-321.0
24,2022-04,-130.0
25,2022-05,-103.0
26,2022-06,-1175.0
27,2022-07,-23.0
28,2022-08,-76.0
29,2022-09,-54.0
30,2022-10,-5.0
31,2022-11,-177.0
