,date,QT_EXIST0
0,2020-02,64.0
1,2020-03,453.0
2,2020-04,337.0
3,2020-05,251.0
4,2020-06,312.0
5,2020-07,361.0
6,2020-08,238.0
7,2020-09,119.0
8,2020-10,49.0
9,2020-11,49.0
10,2020-12,385.0
11,2021-01,94.0
12,2021-02,432.0
13,2021-03,475.0
14,2021-04,270.0
15,2021-05,203.0
16,2021-06,193.0
17,2021-07,239.0
18,2021-08,218.0
19,2021-09,115.0
20,2021-10,109.0
21,2021-11,92.0
22,2021-12,136.0
23,2022-01,159.0
24,2022-02,41.0
25,2022-03,35.0
26,2022-04,81.0
27,2022-05,89.0
28,2022-06,6.0
29,2022-07,114.0
30,2022-08,116.0
31,2022-09,26.0
32,2022-10,79.0
33,2022-11,13.0
