CNES,CODUFMUN,REGSAUDE,MICR_REG,DISTRSAN,DISTRADM,TPGESTAO,PF_PJ,CPF_CNPJ,NIV_DEP,CNPJ_MAN,ESFERA_A,ATIVIDAD,RETENCAO,NATUREZA,CLIENTEL,TP_UNID,TURNO_AT,NIV_HIER,TERCEIRO,TP_LEITO,CODLEITO,QT_EXIST,QT_CONTR,QT_SUS,QT_NSUS,COMPETEN,NAT_JUR
"9331603","520010","","","","","M","3","00000000000000","3","01298330000178","","04","","","03","15","06","","","2","33",9,0,9,0,"202103","1244"
"2335506","520013","15","","","","M","3","00269860000125","1","00000000000000","","04","","","03","05","06","","","1","03",2,0,1,1,"202103","2062"
"2335506","520013","15","","","","M","3","00269860000125","1","00000000000000","","04","","","03","05","06","","","6","34",4,0,3,1,"202103","2062"
"2335506","520013","15","","","","M","3","00269860000125","1","00000000000000","","04","","","03","05","06","","","2","41",2,0,2,0,"202103","2062"
"2335506","520013","15","","","","M","3","00269860000125","1","00000000000000","","04","","","03","05","06","","","4","43",3,0,3,0,"202103","2062"
"2335506","520013","15","","","","M","3","00269860000125","1","00000000000000","","04","","","03","05","06","","","2","33",6,0,4,2,"202103","2062"
"2335506","520013","15","","","","M","3","00269860000125","1","00000000000000","","04","","","03","05","06","","","4","10",1,0,1,0,"202103","2062"
"2335506","520013","15","","","","M","3","00269860000125","1","00000000000000","","04","","","03","05","06","","","5","45",3,0,3,0,"202103","2062"
"2437570","520013","15","","","","M","3","00000000000000","3","02218683000183","","04","","","03","05","06","","","5","45",5,0,5,0,"202103","1244"
"2437570","520013","15","","","","M","3","00000000000000","3","02218683000183","","04","","","03","05","06","","","2","33",16,0,16,0,"202103","1244"
"2571080","520013","15","","","","M","3","02911462000196","1","00000000000000","","04","","","03","05","06","","","5","45",6,0,0,6,"202103","2305"
"2571080","520013","15","","","","M","3","02911462000196","1","00000000000000","","04","","","03","05","06","","","2","33",12,0,0,12,"202103","2305"
"2571080","520013","15","","","","M","3","02911462000196","1","00000000000000","","04","","","03","05","06","","","4","43",4,0,0,4,"202103","2305"
"2571080","520013","15","","","","M","3","02911462000196","1","00000000000000","","04","","","03","05","06","","","1","03",4,0,0,4,"202103","2305"
"2571080","520013","15","","","","M","3","02911462000196","1","00000000000000","","04","","","03","05","06","","","4","10",4,0,0,4,"202103","2305"
"2361507","520017","02","","","","M","3","00000000000000","3","25141292000103","","04","","","03","15","06","","","5","45",4,0,4,0,"202103","1244"
"2361507","520017","02","","","","M","3","00000000000000","3","25141292000103","","04","","","03","15","06","","","2","33",8,0,8,0,"202103","1244"
"0157619","520025","","","","","E","3","00000000000000","3","02529964000157","","04","","","02","05","06","","","2","33",190,0,190,0,"202103","1023"
"0157619","520025","","","","","E","3","00000000000000","3","02529964000157","","04","","","02","05","06","","","3","51",10,0,0,10,"202103","1023"
"0157619","520025","","","","","E","3","00000000000000","3","02529964000157","","04","","","02","05","06","","","3","96",40,0,0,40,"202103","1023"
"0431451","520025","","","","","M","3","00000000000000","3","01616520000196","","04","","","01","73","06","","","2","33",2,0,2,0,"202103","1244"
"0431451","520025","","","","","M","3","00000000000000","3","01616520000196","","04","","","01","73","06","","","4","43",1,0,1,0,"202103","1244"
"2442728","520025","18","","","","M","3","00000000000000","3","01616520000196","","04","","","03","05","06","","","2","33",16,0,16,0,"202103","1244"
"2442728","520025","18","","","","M","3","00000000000000","3","01616520000196","","04","","","03","05","06","","","4","43",2,0,2,0,"202103","1244"
"2442728","520025","18","","","","M","3","00000000000000","3","01616520000196","","04","","","03","05","06","","","4","10",4,0,4,0,"202103","1244"
"2442728","520025","18","","","","M","3","00000000000000","3","01616520000196","","04","","","03","05","06","","","5","45",7,0,7,0,"202103","1244"
"2442728","520025","18","","","","M","3","00000000000000","3","01616520000196","","04","","","03","05","06","","","1","03",10,0,10,0,"202103","1244"
"3122468","520025","18","","","","E","3","05889771000103","1","00000000000000","","04","","","03","36","06","","","1","03",2,0,1,1,"202103","2062"
"2762544","520030","3","","","","M","3","00000000000000","3","01298975000100","","04","","","03","05","06","","","4","10",2,0,2,0,"202103","1244"
"2762544","520030","3","","","","M","3","00000000000000","3","01298975000100","","04","","","03","05","06","","","4","43",5,0,5,0,"202103","1244"
"2762544","520030","3","","","","M","3","00000000000000","3","01298975000100","","04","","","03","05","06","","","5","45",7,0,7,0,"202103","1244"
"2762544","520030","3","","","","M","3","00000000000000","3","01298975000100","","04","","","03","05","06","","","1","06",1,0,1,0,"202103","1244"
"2762544","520030","3","","","","M","3","00000000000000","3","01298975000100","","04","","","03","05","06","","","1","03",4,0,4,0,"202103","1244"
"2762544","520030","3","","","","M","3","00000000000000","3","01298975000100","","04","","","03","05","06","","","2","33",15,0,15,0,"202103","1244"
"2343509","520050","06","SUL","","","M","3","00000000000000","3","01345537000156","","04","","","03","05","06","","","1","03",2,0,2,0,"202103","1244"
"2343509","520050","06","SUL","","","M","3","00000000000000","3","01345537000156","","04","","","03","05","06","","","4","43",3,0,3,0,"202103","1244"
"2343509","520050","06","SUL","","","M","3","00000000000000","3","01345537000156","","04","","","03","05","06","","","2","33",7,0,7,0,"202103","1244"
"2343509","520050","06","SUL","","","M","3","00000000000000","3","01345537000156","","04","","","03","05","06","","","5","45",2,0,2,0,"202103","1244"
"0609773","520055","12�","","","","M","3","00000000000000","3","33331604000170","","04","","","01","05","06","","","5","45",4,0,4,0,"202103","1244"
